generation,MIN_MEAN-SQUARED-ERROR,AVG_MEAN-SQUARED-ERROR,MAX_MEAN-SQUARED-ERROR
1,0.42808107,0.9566133,1.9955461
2,0.39684674,0.70950633,1.5808879
3,0.36714292,0.5890204,1.3126059
4,0.36937413,0.5447788,1.5017287
5,0.37429658,0.51631457,1.5032535
6,0.3692505,0.49155146,1.1078256
7,0.34326646,0.46912822,1.2669547
8,0.34007403,0.4580752,1.3364831
9,0.34519616,0.45753038,1.1464815
10,0.33963096,0.44120368,1.4115986
11,0.32016897,0.435841,1.1869483
12,0.3106668,0.42991215,1.6273173
13,0.302909,0.41530406,1.1091039
14,0.3098551,0.41989878,1.1609038
15,0.31395006,0.42003262,1.29784
16,0.3044433,0.39903346,1.0462488
17,0.31079042,0.4140843,1.9498426
18,0.30067092,0.39712313,1.6992463
19,0.3042948,0.3991597,1.233573
20,0.3043277,0.3947168,1.4987235
21,0.30767992,0.40540603,1.9634911
22,0.30066597,0.38509703,1.7663873
23,0.29753986,0.37968206,1.6235573
24,0.2945008,0.3913716,1.9554014
25,0.3037054,0.38447556,1.9684403
26,0.29621264,0.3835098,1.7621459
27,0.3028901,0.3807032,1.8773564
28,0.29463056,0.37504026,1.9192286
29,0.2995174,0.3776685,1.6385443
30,0.2994947,0.37573498,1.7796009
31,0.30296504,0.38515657,1.682297
32,0.29626018,0.36313847,1.5806565
33,0.304034,0.36974508,1.5379298
34,0.2934305,0.3665765,1.8235966
35,0.29401484,0.3606745,1.4380913
36,0.2921743,0.36502662,1.7410793
37,0.29133803,0.3682831,1.7114245
38,0.28937915,0.3642119,1.6194466
39,0.2948628,0.37135568,1.7371429
40,0.2918955,0.3618132,1.9205346
41,0.29191574,0.35413277,1.4420325
42,0.29457983,0.37053913,1.6302817
43,0.2892028,0.36747447,1.36619
44,0.29186973,0.36417988,1.5465353
45,0.2876138,0.36457095,1.2622374
46,0.2817764,0.35472795,1.153161
47,0.28612617,0.35680106,1.1395001
48,0.28409728,0.35310733,1.2695782
49,0.28114328,0.35641426,1.5960954
50,0.2815155,0.35853007,1.0098132
51,0.28255937,0.35557628,1.0930966
52,0.27848542,0.3583398,1.5472572
53,0.27728778,0.362546,1.6956905
54,0.2845144,0.36826348,1.084903
55,0.27558276,0.3534475,1.0965488
56,0.27599943,0.35456386,1.0308416
57,0.28121382,0.3524127,1.363036
58,0.24862485,0.3576128,1.2995697
59,0.2784331,0.35384315,1.1233305
60,0.27858967,0.3513608,1.2488499
61,0.26896834,0.34127945,1.1910912
62,0.27457127,0.34767,1.0600022
63,0.2668307,0.34726447,1.2160966
64,0.27024317,0.35569075,1.3124268
65,0.26981848,0.34804332,1.1783111
66,0.26704565,0.34252942,1.2038051
67,0.2680221,0.34989834,1.6461762
68,0.2702119,0.35041314,1.2298665
69,0.27159533,0.35035345,1.4394119
70,0.27290657,0.34844518,1.5804824
71,0.26746157,0.34902424,1.6274323
72,0.2751003,0.35475382,1.2065874
73,0.26178625,0.3365378,1.1886182
74,0.26979724,0.3487904,1.1002542
75,0.2655645,0.34701797,1.1972548
76,0.26537597,0.34963152,1.1274492
77,0.25870392,0.33544198,1.1735286
78,0.26203966,0.35027573,1.1311288
79,0.2599786,0.3508231,1.2133696
80,0.2566868,0.352868,1.1239088
81,0.25807133,0.35957968,1.16214
82,0.2566911,0.35044852,1.2790896
83,0.25536388,0.3461335,1.3712401
84,0.24988963,0.34771985,1.2634182
85,0.25415105,0.3396291,1.3953217
86,0.2532282,0.33993077,1.1692575
87,0.25361463,0.3438124,1.2441152
88,0.25029942,0.33875772,1.3952719
89,0.25404415,0.34713614,1.3427885
90,0.25308263,0.343661,1.1221876
91,0.24536751,0.3251278,1.2468452
92,0.25098464,0.33508143,1.3246793
93,0.25304523,0.3359558,1.1786549
94,0.25276038,0.34338346,1.2228013
95,0.24942224,0.3333924,1.0911982
96,0.2529458,0.3333264,1.1357411
97,0.25197825,0.34566283,1.1326027
98,0.2526242,0.334284,1.0060989
99,0.24725656,0.33722886,1.5632883
100,0.24203448,0.32947657,1.0558876
101,0.24787712,0.3269433,1.0264939
102,0.24542625,0.32709935,1.1097928
103,0.2425524,0.32628855,1.0081544
104,0.24720728,0.32254815,0.8609415
105,0.24765117,0.32382482,1.1062008
106,0.24759169,0.325727,1.1197685
107,0.23862576,0.3120769,1.2566835
108,0.24265587,0.31876135,1.2244816
109,0.24491416,0.31737426,1.0133917
110,0.24069987,0.3217786,1.1415344
111,0.23842667,0.3249441,1.2778386
112,0.24515696,0.3259954,1.4381905
113,0.24200019,0.32643393,1.1071925
114,0.24316423,0.32902005,1.1042355
115,0.24277285,0.33106834,1.3186083
116,0.24455173,0.33120832,1.2377375
117,0.24288003,0.32655543,1.2955899
118,0.24152547,0.3256732,1.3949869
119,0.24035415,0.33191094,1.4762946
120,0.24224882,0.32808906,1.4938893
121,0.23956849,0.3219247,1.3610082
122,0.24070305,0.3119244,1.185839
123,0.24031429,0.3228223,1.5009392
124,0.24024475,0.32325196,1.0253462
125,0.23766069,0.3152785,1.192241
126,0.24458492,0.3198278,1.0773759
127,0.2353091,0.3144429,1.0416441
128,0.24132952,0.3139493,0.96312296
129,0.23301901,0.30857825,0.94204795
130,0.2381764,0.3212195,1.3211838
131,0.2313402,0.3085371,1.1997249
132,0.23861668,0.31625792,1.1618087
133,0.24407421,0.3197572,1.2218238
134,0.24278016,0.3107766,1.2388645
135,0.24291037,0.31248972,1.1864878
136,0.24028233,0.30977607,1.2069589
137,0.24594757,0.3231845,1.1184912
138,0.23683833,0.30965948,1.3049505
139,0.22798754,0.3038411,1.2202799
140,0.2351829,0.3053995,1.2533245
141,0.23967375,0.3093356,1.146761
142,0.23996136,0.30851743,1.3404258
143,0.23948696,0.30379793,1.0797766
144,0.24199983,0.30646935,1.4218919
145,0.23388295,0.29630828,1.3036397
146,0.24509664,0.3059232,1.0214866
147,0.2379496,0.29576528,1.0590568
148,0.23524477,0.3053419,1.1095589
