generation,MIN_MEAN-SQUARED-ERROR,AVG_MEAN-SQUARED-ERROR,MAX_MEAN-SQUARED-ERROR
1,0.4885753,1.0405141,1.8122808
2,0.46815082,0.8091793,1.6723051
3,0.5487554,0.75806135,1.3328105
4,0.4626918,0.5920292,1.2499375
5,0.4898597,0.58196265,1.2574552
6,0.50344247,0.59620935,1.246904
7,0.46559227,0.55867773,1.4052184
8,0.4753217,0.55250746,1.440205
9,0.47705835,0.5417345,1.2793272
10,0.45587814,0.5020466,1.1157671
11,0.4456534,0.51165855,1.2728801
12,0.4484173,0.5196236,1.3335767
13,0.4528506,0.5237712,1.3069489
14,0.48683855,0.55120283,1.3528627
15,0.46736434,0.5439501,1.2280306
16,0.44577813,0.51608133,1.2725269
17,0.43100324,0.4965801,1.3199717
18,0.43487743,0.49592206,1.2783399
19,0.43069687,0.49861112,1.2402498
20,0.426931,0.49240458,1.257003
21,0.43175966,0.50098145,1.2908332
22,0.4337025,0.49414518,1.153637
23,0.4443164,0.5057123,1.073007
24,0.42100406,0.48192683,1.2681345
25,0.40816486,0.4747975,1.2540476
26,0.41369686,0.46870366,1.087
27,0.41019365,0.46752897,1.2261624
28,0.40612236,0.46285492,1.2512363
29,0.4409436,0.48999554,1.2263987
30,0.41875416,0.4749783,1.0900402
31,0.396592,0.4607193,1.1786792
32,0.4022357,0.4609236,1.0487199
33,0.43574202,0.49886456,1.4356956
34,0.4464762,0.50800294,1.1502018
35,0.42392406,0.4851956,1.3268532
36,0.43855432,0.5058507,1.0950357
37,0.3953326,0.450183,1.2011344
38,0.39615324,0.4521973,0.9861257
39,0.4116011,0.47083062,1.3089539
40,0.48888296,0.5470038,1.3206158
41,0.40079746,0.46179107,1.1488692
42,0.3904113,0.4464625,1.23596
43,0.41483265,0.4726799,1.2238857
44,0.4581342,0.5178201,1.3302584
45,0.39436632,0.44572484,1.357242
46,0.43012553,0.4939938,1.3159252
47,0.4107792,0.46954128,1.408134
48,0.38904774,0.44710773,1.1573346
49,0.44130355,0.50021404,1.2266283
50,0.40487543,0.46028012,1.0915955
51,0.38144624,0.4334712,1.250069
52,0.38849556,0.45639965,1.1211747
53,0.38981193,0.45142752,1.4435934
54,0.380833,0.4415124,1.1690255
55,0.38795173,0.4513972,1.1309648
56,0.37167567,0.4289071,1.2333161
57,0.38433683,0.4432772,1.0206215
58,0.4111527,0.46020436,1.1014588
59,0.38045454,0.4448729,1.0914392
60,0.40044144,0.45404086,1.6084504
61,0.3975127,0.44506425,1.0614911
62,0.39259252,0.44388047,1.1964792
63,0.3901064,0.44107372,1.1679136
64,0.3763565,0.4330222,1.2876141
65,0.37458712,0.4249016,0.988554
66,0.37517813,0.43290204,1.0693871
67,0.38694143,0.44207773,1.0820212
68,0.4120519,0.46819457,1.2281002
69,0.37162995,0.43212354,1.2671506
70,0.3770899,0.4291778,0.9773177
71,0.38384986,0.4364246,1.0060053
72,0.3715389,0.43429732,1.1059072
73,0.38935992,0.45596772,1.4641727
74,0.39879143,0.46591082,1.2374406
75,0.38613752,0.44922668,1.0305817
76,0.36716983,0.43572912,1.1960083
77,0.37979865,0.44712886,1.3011458
78,0.37172997,0.43200076,1.1424521
79,0.40050262,0.4611874,1.264328
80,0.38455248,0.44533917,1.2065198
81,0.37745437,0.44537166,1.1989295
82,0.36675572,0.43495837,1.0530635
83,0.40210316,0.46947142,0.9922726
84,0.38276568,0.4566693,1.1917746
