generation,MIN_MEAN-SQUARED-ERROR,AVG_MEAN-SQUARED-ERROR,MAX_MEAN-SQUARED-ERROR
1,0.5420824,1.1089922,1.7367803
2,0.5420824,0.8955458,1.6992853
3,0.54030406,0.7663377,1.4162891
4,0.5303023,0.6787812,1.5818437
5,0.5219318,0.6377809,1.3195508
6,0.5219318,0.6191258,1.265366
7,0.5219318,0.61543596,1.2456938
8,0.5219318,0.6172798,1.31101
9,0.5180403,0.6108668,1.404785
10,0.5082788,0.6060007,1.257316
11,0.51080364,0.6111932,1.3597112
12,0.5095483,0.6191502,1.3675574
13,0.50797534,0.6084749,1.4519008
14,0.50797534,0.61102176,1.2919574
15,0.50797534,0.61520934,1.373625
16,0.5070335,0.6050238,1.2949644
17,0.5070335,0.6007806,1.4056923
18,0.5070335,0.58983535,1.406606
19,0.5070335,0.60599077,1.2540561
20,0.5070335,0.6038639,1.2832114
21,0.48903003,0.6060733,1.3146595
22,0.48903003,0.62136567,1.3674352
23,0.48903003,0.61393976,1.5083802
24,0.48903003,0.6146934,1.2032489
25,0.48903003,0.61291414,1.2787228
26,0.48903003,0.6150088,1.2965988
27,0.48903003,0.6028337,1.31101
28,0.48903003,0.6013523,1.347419
29,0.48903003,0.61280113,1.6199135
30,0.48903003,0.60134524,1.3601079
31,0.48903003,0.6063578,1.2239338
32,0.48737213,0.59678566,1.5222996
33,0.48737213,0.6075199,1.3152306
34,0.48737213,0.6011169,1.31101
35,0.48183677,0.60082746,1.2380643
36,0.48183677,0.6007094,1.4105906
37,0.46868813,0.5945632,1.2438332
38,0.46868813,0.5937497,1.31101
39,0.46868813,0.5942217,1.1392986
40,0.46868813,0.60442775,1.2072855
41,0.46868813,0.6001304,1.2869449
42,0.46868813,0.59547853,1.1168017
43,0.46868813,0.5955135,1.3028443
44,0.46868813,0.6000751,1.3146595
45,0.46848473,0.5944876,1.297557
46,0.46848473,0.6018508,1.3642287
47,0.46848473,0.5965866,1.4048215
48,0.46848473,0.59709436,1.2759236
49,0.46848473,0.59712964,1.1585708
50,0.4651437,0.5997766,1.404785
51,0.4651437,0.59696287,1.2805636
52,0.46848473,0.59159935,1.4022797
53,0.46848473,0.59877145,1.3584197
54,0.46848473,0.6002363,1.2262349
55,0.4459119,0.59411293,1.2787228
56,0.46848473,0.6015445,1.3632897
57,0.46848473,0.59133387,1.3154385
58,0.46696386,0.5921376,1.4055638
59,0.46788594,0.583303,1.2172564
60,0.46129176,0.58907676,1.3266785
61,0.46129176,0.57875544,1.2535174
62,0.46129176,0.5814072,1.1191427
63,0.46129176,0.5852232,1.4181455
64,0.46129176,0.5764815,1.404785
65,0.46129176,0.5790238,1.2987278
66,0.46129176,0.5812372,1.342347
67,0.46129176,0.5869854,1.407572
68,0.46129176,0.590354,1.2882648
69,0.46129176,0.5856877,1.4008294
70,0.46129176,0.58045536,1.2564749
71,0.4527118,0.5880323,1.2882648
72,0.46041024,0.5925563,1.2351183
73,0.46041024,0.5853888,1.3440036
74,0.46041024,0.5846618,1.6426886
75,0.46129176,0.5946927,1.4963673
76,0.46129176,0.57577085,1.3600732
77,0.46129176,0.5935609,1.5435822
78,0.46120158,0.58489716,1.3360693
79,0.45754945,0.59499854,1.4377675
80,0.46120158,0.5797446,1.426756
81,0.46120158,0.5902266,1.4390231
82,0.44351685,0.5785636,1.442758
83,0.44351685,0.5880796,1.3205112
84,0.44351685,0.5829124,1.3452275
85,0.44351685,0.57886696,1.3975928
86,0.44351685,0.57177496,1.1224877
87,0.44351685,0.58232284,1.3360693
88,0.44351685,0.57763815,1.5925448
89,0.44351685,0.5745826,1.3128655
90,0.41457576,0.5835926,1.4461995
91,0.41457576,0.58510983,1.3154294
92,0.41457576,0.5873421,1.3922946
93,0.41457576,0.58312964,1.31101
94,0.41457576,0.58848834,1.6336399
95,0.41457576,0.5795741,1.4538826
96,0.41457576,0.58281755,1.3110095
97,0.41457576,0.5854369,1.3363001
98,0.41457576,0.58829325,1.3907572
99,0.41457576,0.5955979,1.31101
100,0.41457576,0.5807186,1.6276215
101,0.41457576,0.5799559,1.6336395
102,0.41457576,0.5880558,1.4647052
103,0.41457576,0.5953117,1.5046487
104,0.41457576,0.5968865,1.4538826
105,0.41457576,0.58096343,1.3080342
106,0.41457576,0.5954557,1.4752904
107,0.41457576,0.5863448,1.31101
108,0.41457576,0.598363,1.5576323
109,0.41457576,0.60406226,1.4390231
110,0.41457576,0.59490925,1.604836
111,0.41457576,0.58849543,1.4119054
112,0.41457576,0.583981,1.4550831
113,0.41457397,0.5974968,1.4313709
114,0.41457576,0.5916656,1.6293899
115,0.40738276,0.5849352,1.4330705
116,0.40738276,0.58746403,1.4959025
117,0.40738276,0.5947754,1.348235
118,0.40738276,0.5885669,1.4249514
119,0.40738276,0.6060996,1.3149611
120,0.40121457,0.5967796,1.6550477
121,0.40738276,0.60320336,1.3278289
122,0.40738276,0.59630233,1.4797574
123,0.40738276,0.6032439,1.6550131
124,0.40738276,0.5968088,1.4115467
125,0.40738276,0.60082394,1.6275935
126,0.40738276,0.599186,1.4659133
127,0.40738276,0.61334574,1.4567935
128,0.40738276,0.6060676,1.4538826
129,0.40647802,0.5837113,1.3678944
130,0.40738276,0.60273147,1.6127014
131,0.40738276,0.6144436,1.5634402
132,0.40738276,0.60702956,1.5297885
133,0.40738276,0.60685134,1.447803
134,0.40738276,0.6119367,1.6127831
135,0.40738276,0.60636824,1.6490186
136,0.40738276,0.6166588,1.546417
137,0.40292957,0.5954312,1.5014373
138,0.40119532,0.60238165,1.4538826
139,0.40119532,0.60478437,1.6978401
140,0.40119532,0.61217135,1.593878
141,0.39934778,0.6038305,1.5246259
142,0.39934778,0.6009392,1.6873251
143,0.39934778,0.6022857,1.31101
144,0.39934778,0.6101575,1.6336399
145,0.40701237,0.60639673,1.6038421
146,0.40325543,0.6058271,1.6336399
147,0.40325543,0.6044143,1.6336399
148,0.40325543,0.6149994,1.6550477
149,0.40325543,0.60780567,1.6550477
150,0.40325543,0.6006285,1.5252974
151,0.40325543,0.59648037,1.6877109
152,0.40325543,0.59853965,1.4752904
153,0.40325543,0.60172856,1.4648386
154,0.40325543,0.61034447,1.4065082
155,0.40325543,0.59511304,1.6550477
156,0.40325543,0.59487563,1.5931846
157,0.40422353,0.5940723,1.623161
158,0.40588805,0.5890374,1.713299
159,0.4021866,0.5920314,1.3235916
160,0.40588805,0.5948857,1.4362199
161,0.4021866,0.6041547,1.5493013
162,0.4021866,0.59717554,1.6159197
163,0.4021866,0.5984656,1.5231401
164,0.4021866,0.59621716,1.4100072
165,0.4021866,0.5956193,1.4125665
166,0.4021866,0.59671265,1.4657423
167,0.4021866,0.6023095,1.5963719
168,0.4021866,0.5971376,1.6127831
169,0.4021866,0.59771276,1.6336399
170,0.4021866,0.5931193,1.3821195
171,0.4021866,0.5907747,1.3795991
172,0.40121043,0.5930047,1.663696
173,0.40121043,0.5864726,1.551196
174,0.40121043,0.58083516,1.3312999
175,0.40121043,0.5901286,1.6323749
176,0.4021866,0.5915216,1.516006
177,0.4021866,0.5989822,1.6336399
178,0.4021866,0.60017174,1.5614252
179,0.4021866,0.60017824,1.4365462
180,0.4021866,0.6000765,1.426097
181,0.4021866,0.59438497,1.5467054
182,0.4021866,0.5999926,1.3547163
183,0.4021866,0.60333276,1.6420248
184,0.4021866,0.6045767,1.6467922
