generation,MIN_MEAN-SQUARED-ERROR,AVG_MEAN-SQUARED-ERROR,MAX_MEAN-SQUARED-ERROR
1,0.3681244,0.95308423,2.1863346
2,0.38056955,0.7087662,1.5704548
3,0.3775041,0.59408706,1.3404676
4,0.30374414,0.53576267,1.5732259
5,0.31271607,0.50717306,1.4684561
6,0.30218548,0.48890987,1.3402181
7,0.29293638,0.4669146,1.2876834
8,0.29223192,0.4604044,1.3007448
9,0.2767629,0.46080035,1.3053823
10,0.27786237,0.45287526,1.3109798
11,0.27231434,0.4371833,1.3714552
12,0.2746423,0.4267062,1.3732455
13,0.2719447,0.42277142,1.247825
14,0.27573645,0.41571164,1.1264247
15,0.27216652,0.41760486,1.1678412
16,0.26399863,0.4037309,1.348094
17,0.27263877,0.40938923,1.1998066
18,0.26745,0.40868515,1.351071
19,0.2626733,0.39669448,1.1576743
20,0.25691465,0.40356585,1.4445081
21,0.2667278,0.4094115,1.3348287
22,0.26268125,0.3989149,1.658152
23,0.2587257,0.39127678,1.356768
24,0.25827283,0.40265185,1.4457797
25,0.2618357,0.3879095,1.2333839
26,0.2611947,0.38565925,1.3322512
27,0.26292416,0.38695025,1.3366556
28,0.25929296,0.38142413,1.3414003
29,0.2668161,0.38572815,1.31261
30,0.26780212,0.39218107,1.5568998
31,0.259285,0.39311445,1.523137
32,0.2670106,0.40148994,1.4411986
33,0.2620867,0.38370174,1.3965219
34,0.26201755,0.38111094,1.4660729
35,0.26317468,0.3733827,1.3300467
36,0.25342557,0.37045854,1.3424793
37,0.25576538,0.36020708,1.3097745
38,0.2598458,0.35456675,1.092107
39,0.25698656,0.35535794,1.1623944
40,0.26198015,0.35234272,1.2708294
41,0.25893784,0.35255048,1.2336547
42,0.25436056,0.3497858,1.3650779
43,0.2576545,0.3473621,1.4403416
44,0.25496492,0.34895995,1.4467152
45,0.26162773,0.3499541,1.6189016
46,0.25489956,0.34909755,1.4569637
47,0.25998512,0.3644326,1.3757015
48,0.25758484,0.37160254,1.3757591
49,0.2599682,0.37288454,1.3726213
50,0.25370374,0.36927077,1.4180218
51,0.26113382,0.3876788,1.4531921
52,0.25570163,0.39027572,1.349787
53,0.25934827,0.3941821,1.3325009
54,0.25188726,0.3663092,1.3343133
55,0.26310855,0.38227198,1.3477293
56,0.25546432,0.37798506,1.3520247
57,0.25900963,0.36666912,1.2343541
58,0.25770602,0.3657155,1.4273787
59,0.25201547,0.36648378,1.3619066
