ts generation ACCURACY_min ACCURACY_mean ACCURACY_max
16:06:28 1 -0.577000 -0.500000 -0.423000
ts generation ACCURACY_min ACCURACY_mean ACCURACY_max
16:07:22 1 -0.423000 -0.374500 -0.326000
ts generation ACCURACY_min ACCURACY_mean ACCURACY_max
16:07:45 1 -0.326000 -0.211500 -0.097000
16:07:45 2 -0.326000 -0.326000 -0.326000
16:07:46 3 -0.326000 -0.326000 -0.326000
16:07:46 4 -0.326000 -0.326000 -0.326000
16:07:46 5 -0.577000 -0.577000 -0.577000
16:07:47 6 -0.577000 -0.577000 -0.577000
16:07:48 7 -0.577000 -0.451500 -0.326000
16:07:49 8 -0.577000 -0.577000 -0.577000
16:07:49 9 -0.577000 -0.451500 -0.326000
16:07:49 10 -0.577000 -0.451500 -0.326000
16:07:50 11 -0.577000 -0.451500 -0.326000
16:07:50 12 -0.577000 -0.577000 -0.577000
16:07:51 13 -0.577000 -0.451500 -0.326000
16:07:51 14 -0.577000 -0.577000 -0.577000
16:07:52 15 -0.577000 -0.577000 -0.577000
16:07:52 16 -0.577000 -0.577000 -0.577000
16:07:53 17 -0.577000 -0.337000 -0.097000
16:07:53 18 -0.577000 -0.577000 -0.577000
16:07:54 19 -0.577000 -0.577000 -0.577000
16:07:54 20 -0.577000 -0.337000 -0.097000
16:07:55 21 -0.577000 -0.337000 -0.097000
16:07:56 22 -0.577000 -0.337000 -0.097000
16:07:56 23 -0.577000 -0.337000 -0.097000
16:07:57 24 -0.577000 -0.337000 -0.097000
16:07:58 25 -0.577000 -0.577000 -0.577000
16:07:58 26 -0.577000 -0.577000 -0.577000
16:07:59 27 -0.577000 -0.337000 -0.097000
16:08:00 28 -0.577000 -0.577000 -0.577000
16:08:00 29 -0.577000 -0.577000 -0.577000
16:08:00 30 -0.577000 -0.577000 -0.577000
16:08:01 31 -0.577000 -0.577000 -0.577000
16:08:02 32 -0.577000 -0.337000 -0.097000
16:08:03 33 -0.577000 -0.577000 -0.577000
16:08:03 34 -0.577000 -0.577000 -0.577000
16:08:04 35 -0.577000 -0.577000 -0.577000
16:08:05 36 -0.577000 -0.577000 -0.577000
16:08:05 37 -0.577000 -0.577000 -0.577000
16:08:06 38 -0.577000 -0.577000 -0.577000
ts generation ACCURACY_min ACCURACY_mean ACCURACY_max
17:14:04 1 -0.340000 -0.155074 -0.063000
ts generation ACCURACY_min ACCURACY_mean ACCURACY_max
17:14:37 1 -0.374000 -0.219549 -0.087000
17:14:37 2 -0.374000 -0.304411 -0.087000
17:14:37 3 -0.395000 -0.361023 -0.087000
17:14:38 4 -0.452000 -0.366659 -0.087000
17:14:38 5 -0.439000 -0.366659 -0.087000
17:14:38 6 -0.439000 -0.381768 -0.087000
17:14:38 7 -0.439000 -0.383613 -0.087000
17:14:38 8 -0.454000 -0.387031 -0.087000
17:14:38 9 -0.434000 -0.369906 -0.087000
17:14:39 10 -0.481000 -0.403504 -0.166000
17:14:39 11 -0.500000 -0.423113 -0.166000
17:14:39 12 -0.456000 -0.405798 -0.166000
17:14:39 13 -0.492000 -0.420054 -0.087000
17:14:39 14 -0.483000 -0.410455 -0.160000
17:14:40 15 -0.500000 -0.434312 -0.166000
17:14:40 16 -0.564000 -0.439537 -0.087000
17:14:40 17 -0.499000 -0.438045 -0.232000
17:14:40 18 -0.500000 -0.443868 -0.087000
17:14:40 19 -0.506000 -0.458505 -0.087000
17:14:41 20 -0.559000 -0.451252 -0.087000
17:14:41 21 -0.605000 -0.470718 -0.087000
17:14:41 22 -0.587000 -0.479191 -0.087000
17:14:41 23 -0.571000 -0.490457 -0.087000
17:14:42 24 -0.587000 -0.521398 -0.087000
17:14:42 25 -0.662000 -0.538543 -0.087000
17:14:42 26 -0.654000 -0.543182 -0.085000
17:14:42 27 -0.592000 -0.506703 -0.087000
17:14:43 28 -0.662000 -0.529210 -0.087000
17:14:43 29 -0.662000 -0.533144 -0.087000
17:14:43 30 -0.618000 -0.508045 -0.087000
17:14:44 31 -0.654000 -0.552733 -0.087000
17:14:44 32 -0.635000 -0.493014 -0.087000
17:14:44 33 -0.662000 -0.585693 -0.087000
17:14:45 34 -0.662000 -0.595653 -0.087000
17:14:45 35 -0.662000 -0.608571 -0.129000
17:14:46 36 -0.664000 -0.601098 -0.087000
17:14:46 37 -0.664000 -0.588910 -0.087000
17:14:47 38 -0.664000 -0.599746 -0.087000
17:14:47 39 -0.664000 -0.593893 -0.087000
17:14:47 40 -0.664000 -0.602650 -0.087000
17:14:48 41 -0.668000 -0.603048 -0.166000
17:14:48 42 -0.664000 -0.598600 -0.166000
17:14:49 43 -0.668000 -0.611088 -0.166000
